2474.194 0.049 -2.42 3.17
2517.431 0.135 -1.50 3.20
2571.032 0.607 -0.90 3.15
2581.711 1.083 -1.58 3.30
2717.297 1.130 -1.49 3.17
2725.773 1.115 -1.55 3.13
2761.287 1.079 -1.35 3.07
2784.638 0.607 -1.99 3.05
2806.471 1.220 -1.54 3.23
2820.362 0.573 -1.91 3.14
2832.176 0.573 -0.85 3.17
2841.935 0.607 -0.59 3.00
2853.931 0.607 -1.55 3.10
2862.319 1.236 -0.53 3.08
2884.102 1.130 -0.23 3.10
2888.929 0.573 -1.36 3.17
3017.183 1.583 -0.30 3.05
3029.728 1.571 -0.35 3.02
3046.684 1.164 -0.81 3.10
3056.738 1.160 -0.79 3.04
3058.088 1.179 -0.42 3.02
3071.239 1.179 -0.75 3.08
3089.400 1.891 +0.08 2.92
3103.803 1.890 +0.18 2.90
3105.080 1.223 -0.43 2.95
3106.231 1.242 -0.07 2.95
3110.080 1.581 -1.21 3.10
3117.667 1.230 -0.49 2.95
3119.800 1.242 -0.52 2.95
3122.070 1.236 -1.57 3.08
3144.719 0.112 -2.36 3.17
3154.192 0.112 -1.16 3.15
3184.117 0.012 -2.52 3.14
3195.715 1.083 -1.39 3.05
3197.519 0.028 -1.94 3.14
3203.431 0.000 -1.82 3.17
3213.121 0.012 -2.28 3.10
3214.767 0.049 -1.37 3.13
3224.237 1.583 +0.05 2.97
3226.769 0.028 -1.79 3.13
3236.119 1.079 -0.41 2.95
3249.366 1.079 -1.35 2.95
3263.683 1.164 -1.14 3.07
3271.648 1.242 -0.28 2.95
3272.077 1.223 -0.25 2.85
3275.290 1.079 -1.48 3.03
3276.772 1.179 -0.89 3.03
3276.992 0.122 -2.44 3.12
3278.288 1.230 -0.26 2.96
3279.988 1.115 -1.19 3.08
3282.327 1.223 -0.34 2.93
3287.654 1.891 +0.45 2.87
3288.141 0.135 -1.99 3.15
3288.427 1.242 -1.25 3.12
3288.576 1.230 -0.98 2.95
3301.673 1.164 -1.91 3.12
3302.095 0.151 -2.34 3.13
3307.721 0.122 -2.66 3.15
3308.803 0.135 -1.24 3.13
3309.532 1.164 -1.69 3.05
3315.322 1.223 -0.64 3.00
3318.023 0.122 -1.07 3.17
3319.081 0.135 -3.00 3.17
3321.698 1.230 -0.34 2.99
3337.847 1.236 -1.25 3.00
3343.762 0.151 -1.18 3.18
3346.741 0.135 -1.04 3.15
3346.915 1.160 -1.95 3.11
3348.840 0.122 -1.18 3.11
3352.069 1.220 -1.28 3.11
3369.203 1.230 -1.42 3.01
3374.346 1.236 -1.06 3.06
3379.913 1.242 -1.66 3.05
3388.751 1.236 -1.02 2.99
3407.202 0.049 -1.97 3.11
3409.808 0.028 -1.91 3.12
3416.957 1.236 -1.54 3.01
3422.666 1.242 -2.62 3.05
3452.465 2.046 -0.56 3.03
3456.384 2.060 -0.11 2.95
3461.496 0.135 -0.85 3.00
3476.963 0.151 -2.20 3.17
3477.180 0.122 -0.95 3.23
3489.736 0.135 -2.00 3.10
3491.049 0.112 -1.10 3.18
3500.333 0.122 -2.04 3.14
3504.891 1.890 +0.38 2.80
3520.252 2.046 -0.18 2.89
3533.854 2.060 -1.31 2.90
3535.407 2.060 +0.01 2.85
3561.576 0.573 -2.04 3.10
3573.732 0.573 -1.53 3.10
3596.047 0.607 -1.07 3.03
3706.217 1.565 -0.67 3.01
3741.638 1.581 -0.07 2.95
3748.003 2.596 -0.55 3.05
3757.685 1.565 -0.44 2.99
3759.292 0.607 +0.28 3.15
3761.321 0.573 +0.18 3.10
3761.872 2.588 -0.42 2.95
3774.647 0.573 -2.65 3.15
3776.053 1.581 -1.24 3.05
3786.323 0.607 -2.60 3.15
3813.388 0.607 -1.89 3.15
3882.287 1.115 -1.87 3.11
3900.539 1.130 -0.29 3.13
3913.461 1.115 -0.36 3.12
3981.991 0.573 -2.54 3.11
3987.606 0.607 -2.73 3.18
4012.384 0.573 -1.78 3.18
4025.129 0.607 -2.11 3.15
4028.338 1.890 -0.92 3.08
4053.821 1.891 -1.07 3.05
4161.529 1.083 -2.09 3.08
4163.644 2.588 -0.13 3.07
4171.904 2.596 -0.30 3.05
4290.215 1.164 -0.87 3.09
4300.042 1.179 -0.46 3.10
4301.923 1.160 -1.21 3.12
4312.860 1.179 -1.12 3.11
4314.971 1.160 -1.15 3.12
4320.950 1.164 -1.88 3.18
4330.698 1.179 -2.09 3.09
4367.652 2.588 -0.86 3.12
4391.026 1.230 -2.30 3.08
4394.059 1.220 -1.77 3.15
4395.839 1.242 -1.93 3.10
4409.518 1.230 -2.53 3.05
4418.331 1.236 -1.99 3.15
4421.938 2.060 -1.64 3.11
4443.801 1.079 -0.71 3.14
4444.554 1.115 -2.20 3.13
4450.482 1.083 -1.52 3.15
4468.493 1.130 -0.63 3.16
4488.324 3.121 -0.50 3.17
4501.270 1.115 -0.77 3.18
4549.622 1.583 -0.22 3.12
4571.971 1.571 -0.31 3.09
4657.201 1.242 -2.29 3.15
4708.663 1.236 -2.35 3.15
4763.883 1.220 -2.40 3.17
5013.686 1.581 -2.14 3.15
5129.156 1.890 -1.34 3.11
5185.902 1.891 -1.41 3.09
5336.786 1.581 -1.60 3.12
5381.022 1.565 -1.97 3.14
5418.768 1.581 -2.13 3.17
