5418.7678 31207.511 2.5 12758.260 2.5 0.00260 12 0.002010  8 0.00192 10
9691.2838 31207.511 2.5 20891.790 3.5            0.000085 32 0.00013 18
9747.9488 31207.511 2.5 20951.755 2.5            0.000276 15 0.00040 17
3217.0543 31301.065 4.5   225.704 3.5 0.08570  4 0.083800  9 0.08345  1
3234.5146 31301.065 4.5   393.446 4.5 0.70000  4 0.697000  3 0.71685  0
3308.8034 31301.065 4.5  1087.356 3.5 0.01790  3 0.017000  6 0.01428  2
3322.9338 31301.065 4.5  1215.833 4.5 0.19590  4 0.201000  8 0.18486  2
3786.3232 31301.065 4.5  4897.718 3.5 0.00070 14 0.000640 19 0.00048  6
5396.2466 31301.065 4.5 12774.817 5.5            0.000090 57 0.00006 15
3184.1168 31490.918 3.5    94.114 2.5            0.001900  9 0.00169  6
3197.5186 31490.918 3.5   225.704 3.5            0.007010  5 0.00641  6
3214.7669 31490.918 3.5   393.446 4.5            0.024900  4 0.02364  5
3276.9916 31490.918 3.5   983.916 2.5            0.001760 18 0.00192  6
3288.1411 31490.918 3.5  1087.356 3.5            0.005580  4 0.00536  5
3302.0953 31490.918 3.5  1215.833 4.5            0.002460  6 0.00237  5
3721.6363 31490.918 3.5  4628.657 2.5            0.030600  1 0.02794  2
3759.2915 31490.918 3.5  4897.718 3.5            0.755000  1 0.76961  0
4395.0312 31490.918 3.5  8744.341 2.5            0.091400  3 0.08529  4
4444.5541 31490.918 3.5  8997.787 3.5            0.001780  5 0.00182  4
4468.4926 31490.918 3.5  9118.285 4.5            0.070800  3 0.06578  4
4549.8129 31490.918 3.5  9518.152 2.5            0.001270 15 0.00132  6
4657.2006 31490.918 3.5 10024.801 2.5            0.001250  5 0.00133  7
5336.7863 31490.918 3.5 12758.260 2.5            0.004610  6 0.00497  9
9432.1508 31490.918 3.5 20891.790 3.5            0.000048 19 0.00057 16
3072.9701 32532.354 0.5     0.000 1.5 0.66590  3             0.70107  1
3161.2016 32532.354 0.5   907.967 1.5 0.26460  4             0.23520  1
4314.9708 32532.354 0.5  9363.743 0.5 0.05490  6             0.04991  9
4320.9500 32532.354 0.5  9395.802 1.5 0.01100  7             0.00918 10
4407.6727 32532.354 0.5  9851.014 0.5 0.00160 13             0.00164 12
4411.9297 32532.354 0.5  9872.899 0.5 0.00200 20             0.00159 11
4432.0960 32532.354 0.5  9975.999 1.5                        0.00055 18
3066.3463 32602.626 1.5     0.000 1.5 0.13870  3 0.139000  2 0.14622  1
3075.2240 32602.626 1.5    94.114 2.5 0.53530  4 0.547000  1 0.53907  1
3154.1924 32602.626 1.5   907.967 1.5 0.04780  4 0.046700  2 0.04614  1
3161.7691 32602.626 1.5   983.916 2.5 0.18820  3 0.182000  2 0.18460  1
3573.7316 32602.626 1.5  4628.657 2.5 0.01680  4 0.016700  3 0.01546  5
4184.3119 32602.626 1.5  8710.567 1.5 0.00120 17 0.001180 17 0.00123 10
4301.9225 32602.626 1.5  9363.743 0.5 0.02560  6 0.022700  6 0.02241  9
4307.8656 32602.626 1.5  9395.802 1.5 0.03080  6 0.028700  6 0.03010 10
4330.6980 32602.626 1.5  9518.152 2.5 0.00390  8 0.003080  9 0.00291 10
4394.0586 32602.626 1.5  9851.014 0.5 0.00570  7 0.005880  6 0.00581 10
4409.5176 32602.626 1.5  9930.777 1.5 0.00150 20 0.000925 16 0.00101 11
4418.3309 32602.626 1.5  9975.999 1.5 0.00370  8 0.003480  6 0.00352 10
5005.1672 32602.626 1.5 12628.845 1.5            0.000498 15 0.00049 14
3057.3925 32698.102 2.5     0.000 1.5 0.00790  4             0.00703  5
3066.2183 32698.102 2.5    94.114 2.5 0.12020  3             0.12519  1
3078.6442 32698.102 2.5   225.704 3.5 0.53440  4             0.53556  1
3144.7190 32698.102 2.5   907.967 1.5 0.00210 10             0.00195  3
3152.2502 32698.102 2.5   983.916 2.5 0.03920  3             0.03809  2
3162.5658 32698.102 2.5  1087.356 3.5 0.18600  3             0.18786  2
3561.5755 32698.102 2.5  4628.657 2.5 0.00400  5             0.00319  6
3596.0465 32698.102 2.5  4897.718 3.5 0.03200  4             0.02957  5
4173.5333 32698.102 2.5  8744.341 2.5 0.00330  6             0.00334  9
4290.2148 32698.102 2.5  9395.802 1.5 0.03420  6             0.03281  9
4312.8600 32698.102 2.5  9518.152 2.5 0.01880  6             0.01818 10
4391.0258 32698.102 2.5  9930.777 1.5 0.00120  8             0.00116 11
4399.7652 32698.102 2.5  9975.999 1.5 0.01490  6             0.01444 10
4409.2354 32698.102 2.5 10024.801 2.5 0.00050 20             0.00038 12
5013.6863 32698.102 2.5 12758.260 2.5 0.00120 17             0.00127 13
3072.1072 32767.196 3.5   225.704 3.5 0.08480  4 0.087500 11 0.08234  1
3088.0257 32767.196 3.5   393.446 4.5 0.59800  4 0.604000  5 0.59894  1
3145.3973 32767.196 3.5   983.916 2.5 0.00080 13 0.000926 25 0.00093  6
3155.6679 32767.196 3.5  1087.356 3.5 0.02260  4 0.019700  7 0.02111  2
3168.5183 32767.196 3.5  1215.833 4.5 0.20800  4 0.211000 10 0.21786  1
3587.1310 32767.196 3.5  4897.718 3.5 0.00670  4 0.006350  7 0.00613  6
4161.5292 32767.196 3.5  8744.341 2.5 0.00160  6 0.001330 10 0.00158  9
4227.3340 32767.196 3.5  9118.285 4.5 0.00110 18 0.000519 13 0.00057 11
4300.0424 32767.196 3.5  9518.152 2.5 0.06510  6 0.058200 11 0.06274  9
4395.8394 32767.196 3.5 10024.801 2.5 0.00200 10 0.001860  9 0.00204 10
3341.8747 34543.380 3.5  4628.657 2.5 0.77480  5             0.75902  1
3372.2062 34543.380 3.5  4897.718 3.5 0.02820  4             0.02904  3
3913.4612 34543.380 3.5  8997.787 3.5 0.09600  5             0.10856  4
3932.0088 34543.380 3.5  9118.285 4.5 0.00570  7             0.00642  6
4571.9713 34543.380 3.5 12677.105 4.5 0.08830  5             0.09038  8
5183.7112 34543.380 3.5 15257.553 4.5 0.00040 25             0.00025 18
5185.9020 34543.380 3.5 15265.700 3.5 0.00460  7             0.00555 11
7355.4458 34543.380 3.5 20951.755 2.5                        0.00079 17
2909.9271 34748.506 4.5   393.446 4.5 0.00220  9             0.00225  7
3349.0326 34748.506 4.5  4897.718 3.5 0.74080  5             0.79181  1
3882.2865 34748.506 4.5  8997.787 3.5 0.00250  8             0.00276  9
