transition,T_e,n_e,gamma_W,gamma_d
738.4000,10000,1.000e+17,0.262,0.0506
738.4000,20000,1.000e+17,0.268,0.0599
738.4000,30000,1.000e+17,0.27,0.0654
738.4000,50000,1.000e+17,0.272,0.0726
696.5400,10000,1.000e+17,0.238,0.0428
696.5400,20000,1.000e+17,0.243,0.0505
696.5400,30000,1.000e+17,0.245,0.0552
696.5400,50000,1.000e+17,0.247,0.0612
763.5100,10000,1.000e+17,0.29,0.0464
763.5100,20000,1.000e+17,0.297,0.0547
763.5100,30000,1.000e+17,0.299,0.0596
763.5100,50000,1.000e+17,0.301,0.0661
