transition,T_e,n_e,gamma_W,gamma_d
308.2200,10000,1.000e+17,0.162,
308.2200,20000,1.000e+17,0.114,
308.2200,40000,1.000e+17,0.0808,
308.2200,80000,1.000e+17,0.0589,
308.2200,160000,1.000e+17,0.0479,
276.7600,10000,1.000e+17,0.131,
276.7600,20000,1.000e+17,0.0924,
276.7600,40000,1.000e+17,0.0653,
276.7600,80000,1.000e+17,0.0474,
276.7600,160000,1.000e+17,0.0384,
