transition,T_e,n_e,gamma_W,gamma_d
945.6200,10000,1.000e+17,18.7,-1.49
945.6200,20000,1.000e+17,16.4,-1.6
945.6200,30000,1.000e+17,15.2,-1.18
945.6200,40000,1.000e+17,14.5,-0.802
945.6200,50000,1.000e+17,13.6,-0.538
4633.4300,5000,1.000e+17,348.0,-62.0
4633.4300,10000,1.000e+17,279.0,-56.4
4633.4300,20000,1.000e+17,266.0,-42.0
4633.4300,30000,1.000e+17,269.0,-25.9
4633.4300,40000,1.000e+17,274.0,-15.0
4633.4300,50000,1.000e+17,265.0,-8.47
562.5000,5000,1.000e+17,9.8,-1.96
562.5000,10000,1.000e+17,8.02,-2.47
562.5000,20000,1.000e+17,7.21,-3.64
562.5000,30000,1.000e+17,6.79,-4.12
562.5000,40000,1.000e+17,6.58,-4.3
562.5000,50000,1.000e+17,6.41,-4.33
681.8300,5000,1.000e+17,22.3,-11.4
681.8300,10000,1.000e+17,20.9,-16.7
681.8300,20000,1.000e+17,19.4,-18.5
681.8300,30000,1.000e+17,18.0,-17.9
681.8300,40000,1.000e+17,17.3,-16.9
681.8300,50000,1.000e+17,16.6,-17.4
578.6600,5000,1.000e+17,12.4,-1.98
578.6600,10000,1.000e+17,10.1,-2.41
578.6600,20000,1.000e+17,8.71,-3.72
578.6600,30000,1.000e+17,8.08,-4.26
578.6600,40000,1.000e+17,7.76,-4.47
578.6600,50000,1.000e+17,7.48,-4.5
573.0400,5000,1.000e+17,12.4,-1.8
573.0400,10000,1.000e+17,10.1,-2.14
573.0400,20000,1.000e+17,8.66,-3.43
573.0400,30000,1.000e+17,8.05,-4.03
573.0400,40000,1.000e+17,7.73,-4.25
573.0400,50000,1.000e+17,7.19,-4.25
705.7200,5000,1.000e+17,27.3,-12.1
705.7200,10000,1.000e+17,24.8,-17.5
705.7200,20000,1.000e+17,22.4,-19.6
705.7200,30000,1.000e+17,20.6,-19.0
705.7200,40000,1.000e+17,19.7,-18.0
705.7200,50000,1.000e+17,18.8,-18.5
2198.7500,5000,1.000e+17,125.0,-1.29
2198.7500,10000,1.000e+17,108.0,11.0
2198.7500,20000,1.000e+17,104.0,33.9
2198.7500,30000,1.000e+17,103.0,43.7
2198.7500,40000,1.000e+17,98.1,47.1
