2121.3903 47328.784 od 2   204.787 ev 3 2121.3898 2121.3910
2125.6261 47030.102 od 3     0.000 ev 4 2125.6265 2125.6254
2129.9541 47139.337 od 2   204.787 ev 3 2129.9535 2129.9550
2134.9235 47030.102 od 3   204.787 ev 3 2134.9228 2134.9244
2147.7838 47424.785 od 1   879.816 ev 2 2147.7834 2147.7845
2152.2234 47328.784 od 2   879.816 ev 2 2152.2229 2152.2241
2157.8282 47208.149 od 1   879.816 ev 2 2157.8277 2157.8290
2158.3059 46522.866 od 2   204.787 ev 3 2158.3055 2158.3067
2161.0384 47139.337 od 2   879.816 ev 2 2161.0378 2161.0393
2166.1540 47030.102 od 3   879.816 ev 2 2166.1533 2166.1549
2174.4846 47686.587 od 0  1713.087 ev 1 2174.4840 2174.4854
2182.3810 47139.337 od 2  1332.164 ev 3 2182.3815 2182.3802
2186.9397 47424.785 od 1  1713.087 ev 1 2186.9392 2186.9405
2190.2292 46522.866 od 2   879.816 ev 2 2190.2288 2190.2300
2197.3544 47208.149 od 1  1713.087 ev 1 2197.3539 2197.3553
2200.6834 47139.337 od 2  1713.087 ev 1 2200.6827 2200.6843
2211.0143 45418.804 od 2   204.787 ev 3 2211.0137 2211.0154
2211.2971 47424.785 od 1  2216.550 ev 2 2211.2977 2211.2962
2212.1552 46522.866 od 2  1332.164 ev 3 2212.1558 2212.1542
2217.7700 45281.089 od 3   204.787 ev 3 2217.7694 2217.7710
2225.3496 47139.337 od 2  2216.550 ev 2 2225.3500 2225.3488
2230.9623 46522.866 od 2  1713.087 ev 1 2230.9618 2230.9632
2244.5276 45418.804 od 2   879.816 ev 2 2244.5269 2244.5287
2251.4899 45281.089 od 3   879.816 ev 2 2251.4893 2251.4909
2253.5722 44565.037 od 3   204.787 ev 3 2253.5715 2253.5733
2255.8784 44314.904 od 4     0.000 ev 4 2255.8789 2255.8777
2256.3157 46522.866 od 2  2216.550 ev 2 2256.3163 2256.3148
2258.1509 44475.099 od 2   204.787 ev 3 2258.1502 2258.1520
2259.5672 45122.383 od 1   879.816 ev 2 2259.5665 2259.5682
2266.3526 44314.904 od 4   204.787 ev 3 2266.3519 2266.3537
2267.5596 45418.804 od 2  1332.164 ev 3 2267.5601 2267.5589
2271.2585 47424.785 od 1  3409.937 ev 2 2271.2580 2271.2594
2274.6657 45281.089 od 3  1332.164 ev 3 2274.6663 2274.6649
2276.2237 47328.784 od 2  3409.937 ev 2 2276.2231 2276.2246
2286.1265 43933.408 od 2   204.787 ev 3 2286.1257 2286.1277
2287.3246 45418.804 od 2  1713.087 ev 1 2287.3239 2287.3258
2288.3979 44565.037 od 3   879.816 ev 2 2288.3972 2288.3991
2289.9873 43654.903 od 3     0.000 ev 4 2289.9878 2289.9865
2291.8112 47030.102 od 3  3409.937 ev 2 2291.8104 2291.8124
2293.1193 44475.099 od 2   879.816 ev 2 2293.1187 2293.1204
2300.7813 43654.903 od 3   204.787 ev 3 2300.7807 2300.7824
2302.9451 45122.383 od 1  1713.087 ev 1 2302.9443 2302.9462
2310.9616 43258.726 od 4     0.000 ev 4 2310.9620 2310.9610
2312.3437 44565.037 od 3  1332.164 ev 3 2312.3442 2312.3429
2313.9827 45418.804 od 2  2216.550 ev 2 2313.9831 2313.9820
2317.1645 44475.099 od 2  1332.164 ev 3 2317.1651 2317.1637
2318.7774 46522.866 od 2  3409.937 ev 2 2318.7768 2318.7783
2321.3831 45281.089 od 3  2216.550 ev 2 2321.3836 2321.3823
2321.9547 43258.726 od 4   204.787 ev 3 2321.9539 2321.9560
2321.9734 43933.408 od 2   879.816 ev 2 2321.9726 2321.9747
2325.8012 44314.904 od 4  1332.164 ev 3 2325.8018 2325.8004
2329.9705 45122.383 od 1  2216.550 ev 2 2329.9710 2329.9698
2337.0929 43654.903 od 3   879.816 ev 2 2337.0922 2337.0940
2337.4882 42767.853 od 3     0.000 ev 4 2337.4887 2337.4875
2337.8075 44475.099 od 2  1713.087 ev 1 2337.8068 2337.8087
2338.4964 42954.203 od 2   204.787 ev 3 2338.4956 2338.4977
2345.5432 42620.994 od 3     0.000 ev 4 2345.5437 2345.5424
2346.6307 43933.408 od 2  1332.164 ev 3 2346.6311 2346.6300
2347.5142 42585.212 od 4     0.000 ev 4 2347.5147 2347.5133
2348.7357 42767.853 od 3   204.787 ev 3 2348.7350 2348.7369
2355.0546 42653.661 od 2   204.787 ev 3 2355.0539 2355.0557
2356.8685 42620.994 od 3   204.787 ev 3 2356.8677 2356.8696
2358.8586 42585.212 od 4   204.787 ev 3 2358.8578 2358.8597
2360.6377 44565.037 od 3  2216.550 ev 2 2360.6381 2360.6370
2362.0740 43654.903 od 3  1332.164 ev 3 2362.0745 2362.0731
2365.6622 44475.099 od 2  2216.550 ev 2 2365.6627 2365.6614
2367.8043 43933.408 od 2  1713.087 ev 1 2367.8035 2367.8057
2376.0177 42954.203 od 2   879.816 ev 2 2376.0168 2376.0190
2379.7238 45418.804 od 2  3409.937 ev 2 2379.7229 2379.7251
