3328.713 0.109 -3.36 6.25 no
3365.765 0.422 -1.30 6.28 no
3401.164 3.417 -0.08 6.15 no
3500.851 0.165 -1.27 6.23 no
3507.693 0.165 -2.59 6.25 no
3516.214 3.536 +0.07 6.20 no
3523.070 0.422 -3.42 6.25 no
3602.278 0.165 -2.17 6.25 no
3612.740 0.275 -1.41 6.21 no
3641.639 0.275 -3.71 6.27 yes
3775.571 0.422 -1.41 6.20 no
4470.477 3.396 -0.30 6.29 no
4519.983 1.675 -3.08 6.38 no
4604.988 3.477 -0.24 6.25 no
4686.213 3.594 -0.59 6.25 no
4740.165 3.477 -1.72 6.28 no
4756.515 3.477 -0.27 6.28 no
4762.627 1.934 -2.58 6.38 no
4786.281 1.675 -3.14 6.38 no
4814.598 3.594 -1.63 6.29 no
4831.176 3.603 -0.32 6.27 no
4845.330 3.536 -2.41 6.25 no
4866.271 3.536 -0.22 6.25 no
4873.442 3.696 -0.38 6.25 no
4874.793 3.541 -1.44 6.24 no
4886.711 3.703 -1.81 6.25 no
4900.971 3.477 -1.66 6.25 no
4925.563 3.652 -0.78 6.35 no
4953.208 3.737 -0.58 6.22 no
4976.135 3.603 -1.26 6.25 no
4976.326 1.675 -3.00 6.31 no
4998.224 3.603 -0.70 6.25 no
5003.741 1.675 -3.07 6.27 no
5010.023 3.765 -0.98 6.23 no
5035.362 3.633 +0.29 6.23 no
5080.533 3.652 +0.32 6.25 no
5102.966 1.675 -2.87 6.33 no
5157.980 3.603 -1.51 6.23 no
5388.344 1.934 -3.51 6.35 no
5424.645 1.949 -2.74 6.31 no
5435.858 1.984 -2.58 6.40 no
5499.406 3.838 -2.17 6.18 no
5504.094 3.831 -1.69 6.25 no
5510.009 3.844 -0.88 6.25 no
5537.106 3.844 -2.22 6.28 no
5578.718 1.675 -2.83 6.35 yes
5587.858 1.934 -2.39 6.30 no
5748.351 1.675 -3.24 6.27 yes
5749.297 3.938 -1.92 6.22 yes
5754.656 1.934 -2.22 6.40 yes
5846.994 1.675 -3.46 6.31 yes
5892.872 1.984 -2.22 6.37 yes
6007.310 1.675 -3.40 6.34 no
6108.116 1.675 -2.60 6.28 yes
6128.973 1.675 -3.43 6.35 yes
6176.812 4.085 -0.26 6.25 yes
6177.242 1.825 -3.46 6.23 yes
6191.178 1.675 -2.47 6.35 yes
6204.604 4.085 -1.08 6.24 no
6223.984 4.102 -0.91 6.23 yes
6272.628 4.263 -1.78 6.17 no
6327.599 1.675 -3.17 6.33 yes
6378.250 4.150 -0.82 6.25 yes
6414.587 4.150 -1.16 6.23 no
6532.873 1.934 -3.35 6.25 yes
6586.310 1.949 -2.78 6.26 yes
6643.630 1.675 -2.22 6.28 yes
6767.772 1.825 -2.14 6.35 yes
7001.541 1.934 -3.55 6.28 yes
7028.959 1.934 -3.71 6.31 yes
7062.956 1.949 -3.42 6.22 yes
7110.896 1.934 -3.00 6.33 yes
7385.238 2.738 -2.07 6.37 yes
7414.502 1.984 -2.48 6.33 yes
7714.308 1.934 -2.00 6.30 yes
7788.930 1.949 -2.18 6.27 yes
