2318.777 0.422 -1.73 3.87
2329.971 0.275 +0.00 3.75
2338.496 0.025 -2.03 4.00
2376.018 0.109 -1.70 3.93
2401.842 0.165 -1.10 3.90
2412.645 0.165 -1.52 3.95
2434.416 0.422 -1.73 3.90
2441.825 0.212 -1.51 4.10
2798.651 0.109 -1.54 3.80
2821.291 0.025 -1.41 3.75
2943.912 0.025 -1.17 3.70
2984.131 0.000 -1.50 3.85
3031.867 0.000 -1.81 3.90
3080.753 0.212 -1.18 3.78
3099.110 0.165 -1.66 3.88
3105.460 0.275 -1.50 3.89
3114.124 0.109 -1.54 3.84
3184.367 0.275 -2.18 3.92
3221.652 0.000 -1.87 3.90
3225.019 0.422 -1.36 3.84
3226.983 0.000 -2.56 4.00
3243.055 0.025 -1.27 3.90
3248.458 0.025 -2.16 3.88
3250.743 0.422 -1.76 3.85
3282.695 0.165 -2.42 3.90
3286.945 0.025 -2.53 3.92
3315.663 0.109 -1.20 3.87
3320.259 0.165 -1.43 3.90
3322.310 0.422 -1.38 3.83
3361.554 0.109 -1.44 3.90
3365.765 0.422 -1.30 3.83
3367.886 0.025 -2.78 4.00
3371.988 0.165 -1.40 3.89
3374.636 3.377 +0.62 3.90
3380.879 0.275 -1.46 3.90
3401.164 3.417 -0.08 4.10
3409.574 0.000 -2.43 3.97
3413.476 0.165 -1.40 3.90
3413.936 0.109 -1.75 3.94
3423.707 0.212 -0.71 3.80
3433.556 0.025 -0.67 3.88
3437.277 0.000 -1.20 3.96
3446.259 0.109 -0.38 3.80
3452.889 0.109 -0.90 3.82
3467.501 0.165 -2.03 3.90
3469.485 0.275 -1.79 3.89
3483.777 0.275 -1.11 3.87
3500.851 0.165 -1.27 3.88
3507.693 0.165 -2.59 3.90
3516.214 3.536 +0.07 3.95
3519.765 0.275 -1.44 3.91
3527.980 0.165 -2.24 3.90
3548.183 0.212 -1.54 3.82
3551.532 0.165 -2.65 3.95
3571.864 0.165 -1.16 3.91
3597.703 0.212 -1.10 3.83
3602.278 0.165 -2.17 3.92
3610.462 0.109 -1.14 3.88
3612.740 0.275 -1.41 3.87
3634.947 0.422 -2.72 3.90
3775.571 0.422 -1.41 3.90
3783.530 0.422 -1.40 3.97
3807.144 0.422 -1.23 3.83
3831.691 0.422 -2.25 3.86
3858.297 0.422 -0.96 3.90
3973.555 0.422 -2.61 4.02
4401.541 3.191 +0.06 3.95
4470.477 3.396 -0.30 3.85
4604.988 3.477 -0.24 3.90
4648.652 3.417 -0.09 3.82
4714.417 3.377 +0.25 3.89
4756.515 3.477 -0.27 3.90
4786.535 3.417 -0.18 3.80
4980.173 3.603 +0.07 3.80
5017.576 3.536 -0.03 3.90
5080.533 3.652 +0.32 3.85
5476.904 1.825 -0.78 3.90
