wavelength,intensity
243.78943,2.7243012e+11
243.84216,3.0239733e+11
243.8949,3.7537337e+11
243.94763,4.470568e+11
244.00037,4.662062e+11
244.05309,4.0646663e+11
244.1058,2.914993e+11
244.15851,1.7416818e+11
244.21121,9.8180284e+10
244.26392,8.694697e+10
244.3166,1.4844697e+11
244.36931,2.757713e+11
244.42198,4.4428165e+11
244.47467,6.094436e+11
244.52734,7.1914265e+11
244.58002,7.42271e+11
244.63268,6.8766355e+11
244.68533,5.8948465e+11
244.73799,4.773618e+11
244.79065,3.643916e+11
244.84329,2.5313375e+11
244.89594,1.5484058e+11
244.94856,9.258e+10
245.00119,7.091749e+10
245.05382,6.351513e+10
245.10645,4.2533126e+10
245.15906,5.755819e+09
245.21165,-2.6462507e+10
245.26427,-3.2963189e+10
245.31686,-1.0510415e+10
245.36946,2.6365088e+10
245.42204,5.9137565e+10
245.47464,7.492838e+10
245.5272,7.099098e+10
245.57979,5.645595e+10
245.63235,4.871796e+10
245.68492,6.9182685e+10
245.73747,1.3324592e+11
245.79002,2.3573833e+11
245.84258,3.5196115e+11
245.89513,4.5055993e+11
245.94766,5.0679595e+11
246.0002,5.2428177e+11
246.05272,5.3330228e+11
246.10524,6.0716e+11
246.15776,7.024583e+11
246.21028,7.677982e+11
246.26279,7.547898e+11
246.31529,6.767811e+11
246.36778,5.8748266e+11
246.42027,5.3021157e+11
246.47276,5.1365695e+11
246.52525,5.1918232e+11
246.57773,5.2078274e+11
246.6302,5.021547e+11
246.68266,4.5903908e+11
246.73514,3.918002e+11
246.78758,3.072045e+11
246.84004,2.2867884e+11
246.89249,1.8928465e+11
246.94493,2.0320018e+11
246.99738,2.5133598e+11
247.0498,3.003058e+11
247.10223,3.2799772e+11
247.15465,3.330889e+11
247.20706,3.3336443e+11
247.25948,3.4090946e+11
247.31189,3.783035e+11
247.36429,3.9794563e+11
247.41669,3.527818e+11
247.46907,2.8667848e+11
247.52147,2.2240038e+11
247.57384,1.7770419e+11
247.62622,1.5332855e+11
247.67859,1.5265527e+11
247.73096,1.8902663e+11
247.78333,2.7441729e+11
247.83568,4.0100125e+11
247.88803,5.405202e+11
247.94037,6.4849366e+11
247.99272,6.270769e+11
248.04506,5.836183e+11
248.09738,5.295921e+11
248.1497,5.1105713e+11
248.20203,5.059521e+11
248.25435,6.809787e+11
248.30666,8.3819685e+11
248.35896,9.3924544e+11
248.41127,9.379991e+11
248.46356,7.983778e+11
248.51585,6.1336905e+11
248.56813,4.531213e+11
248.62042,3.6688773e+11
248.6727,3.740852e+11
248.72496,4.1675637e+11
248.77722,4.8858517e+11
248.82948,5.665711e+11
248.88174,7.2049925e+11
248.93399,8.759311e+11
248.98624,1.0264167e+12
249.03848,1.1968207e+12
249.09071,1.352563e+12
249.14294,1.3555677e+12
249.19518,1.3321128e+12
