wavelength,intensity
243.78943,3.0918685e+11
243.84216,3.1925456e+11
243.8949,3.4363104e+11
243.94763,3.5463945e+11
244.00037,3.2444334e+11
244.05309,2.5024812e+11
244.1058,1.6222667e+11
244.15851,9.81213e+10
244.21121,8.419205e+10
244.26392,1.3437365e+11
244.3166,2.4986663e+11
244.36931,4.1996665e+11
244.42198,6.241157e+11
244.47467,8.210645e+11
244.52734,9.4215465e+11
244.58002,9.3033346e+11
244.63268,7.9486714e+11
244.68533,6.132596e+11
244.73799,4.5893822e+11
244.79065,3.3966142e+11
244.84329,2.3050229e+11
244.89594,1.3434854e+11
244.94856,7.4486e+10
245.00119,5.110152e+10
245.05382,4.1603326e+10
245.10645,3.1428127e+10
245.15906,1.8248636e+10
245.21165,1.9430377e+09
245.26427,-1.2149308e+10
245.31686,-1.207064e+10
245.36946,8.23816e+09
245.42204,4.0536334e+10
245.47464,6.6793902e+10
245.5272,7.159661e+10
245.57979,5.769686e+10
245.63235,4.5060518e+10
245.68492,5.5192596e+10
245.73747,9.9635044e+10
245.79002,1.7527636e+11
245.84258,2.6500922e+11
245.89513,3.4378374e+11
245.94766,3.9425573e+11
246.0002,4.239666e+11
246.05272,4.5985474e+11
246.10524,5.1824306e+11
246.15776,5.8592166e+11
246.21028,6.290596e+11
246.26279,6.192604e+11
246.31529,5.620412e+11
246.36778,4.942292e+11
246.42027,4.5086953e+11
246.47276,4.3862622e+11
246.52525,4.4061216e+11
246.57773,4.404879e+11
246.6302,4.2749487e+11
246.68266,3.8960618e+11
246.73514,3.2078234e+11
246.78758,2.324757e+11
246.84004,1.5558725e+11
246.89249,1.2307081e+11
246.94493,1.3902994e+11
246.99738,1.7599146e+11
247.0498,2.0677917e+11
247.10223,2.2281655e+11
247.15465,2.2560516e+11
247.20706,2.2134571e+11
247.25948,2.2210313e+11
247.31189,2.3257897e+11
247.36429,2.3853969e+11
247.41669,2.233232e+11
247.46907,1.9011843e+11
247.52147,1.5563871e+11
247.57384,1.3126045e+11
247.62622,1.2758113e+11
247.67859,1.4358533e+11
247.73096,2.9123504e+11
247.78333,4.8963338e+11
247.83568,7.226195e+11
247.88803,9.099486e+11
247.94037,1.1987464e+12
247.99272,8.569832e+11
248.04506,6.163433e+11
248.09738,4.902435e+11
248.1497,4.175742e+11
248.20203,4.4654343e+11
248.25435,5.3920363e+11
248.30666,6.379933e+11
248.35896,6.8666085e+11
248.41127,6.5576016e+11
248.46356,5.553534e+11
248.51585,4.2311654e+11
248.56813,3.0655018e+11
248.62042,2.4469832e+11
248.6727,2.4599618e+11
248.72496,2.906398e+11
248.77722,3.621052e+11
248.82948,4.6305794e+11
248.88174,5.9716705e+11
248.93399,7.5408035e+11
248.98624,9.139967e+11
249.03848,1.0490744e+12
249.09071,1.1321413e+12
249.14294,1.165941e+12
249.19518,1.1928911e+12
249.24739,1.261289e+12
249.2996,1.3754057e+12
249.35182,1.4585236e+12
249.40402,1.8612177e+12
249.45622,1.2451521e+12
249.50842,4.5408675e+11
249.56061,1.5973214e+11
249.6128,1.9859307e+11
249.66498,1.6461013e+11
249.71715,2.0757124e+11
249.76932,2.960784e+11
249.82149,4.100909e+11
249.87364,5.1642243e+11
249.9258,5.6947756e+11
249.97795,5.7185855e+11
250.03009,4.4205084e+11
250.08223,3.239306e+11
250.13437,2.898723e+11
250.1865,2.997685e+11
250.23862,3.4930003e+11
250.29074,4.12188e+11
250.34285,4.6502707e+11
250.39496,4.8985e+11
250.44707,4.8564598e+11
250.49916,4.8063942e+11
250.55125,4.8166083e+11
250.60335,6.2412685e+11
250.65544,8.8793324e+11
250.70752,1.1122124e+12
250.75958,1.5026386e+12
250.81166,1.3241063e+12
250.86372,8.127987e+11
250.91579,3.9896567e+11
250.96783,4.723483e+11
251.01988,4.7173734e+11
251.07193,5.63678e+11
251.12396,7.1172194e+11
251.176,8.735794e+11
251.22803,1.030842e+12
251.28006,1.1030676e+12
251.33208,1.1322824e+12
251.3841,1.0331486e+12
251.4361,1.45237e+12
251.4881,2.069066e+12
251.5401,2.7302193e+12
251.59209,3.0763854e+12
251.64409,3.3613737e+12
251.69606,3.9875557e+12
251.74805,3.128924e+12
251.80002,1.5910072e+12
251.85199,1.1568185e+12
251.90395,1.3087335e+12
251.95592,1.3241676e+12
252.00786,1.534991e+12
252.05981,1.1284171e+12
252.11176,7.3234946e+11
252.1637,7.644539e+11
252.21562,8.4172086e+11
252.26756,9.719866e+11
252.31949,1.1495958e+12
252.3714,1.3602268e+12
252.42331,1.5723541e+12
252.47522,1.7444159e+12
252.52713,2.0280586e+12
252.57903,1.8531073e+12
252.63092,1.8068558e+12
252.6828,1.820375e+12
252.7347,1.8114545e+12
252.78658,2.0105072e+12
252.83844,2.375452e+12
252.8903,2.652863e+12
252.94217,2.5337203e+12
252.99403,2.0486429e+12
253.04588,1.5271862e+12
253.09773,1.07158136e+12
253.14958,5.899371e+11
253.20142,5.3038088e+11
253.25325,4.9735624e+11
253.30508,5.68177e+11
253.3569,7.2251854e+11
253.40872,8.867923e+11
253.46054,1.1055914e+12
253.51234,1.0722412e+12
253.56415,9.750706e+11
253.61595,9.4234516e+11
253.66774,1.0706704e+12
253.71953,1.1917944e+12
253.77132,1.3171162e+12
253.82309,1.4459041e+12
253.87486,1.5090976e+12
253.92664,1.7624717e+12
253.9784,2.0877629e+12
254.03015,1.916739e+12
254.08191,1.6695272e+12
254.13365,1.6955806e+12
254.1854,1.6744109e+12
254.23714,1.7501858e+12
254.28888,1.6970222e+12
254.3406,1.1413498e+12
254.39232,6.1585634e+11
254.44405,6.4277814e+11
254.49576,5.2756775e+11
254.54747,4.7154994e+11
254.59917,4.728891e+11
254.65086,4.8153723e+11
254.70256,4.8966035e+11
254.75424,4.990012e+11
254.80594,5.3086018e+11
254.8576,5.564414e+11
254.90929,7.436675e+11
254.96095,9.3055975e+11
255.01262,1.1591869e+12
255.06427,1.0215299e+12
255.11594,7.3508284e+11
255.16757,5.0721256e+11
255.21922,2.762019e+11
255.27086,8.831234e+10
255.3225,1.7517275e+10
255.37413,-2.4764848e+10
255.42575,-3.2930464e+10
255.47737,-2.5525998e+10
255.52898,-1.122665e+10
255.58058,5.1699395e+09
255.63219,1.7975611e+10
255.68379,2.343282e+10
255.73538,2.4991158e+10
255.78697,3.2503402e+10
255.83856,5.4996177e+10
255.89014,9.581647e+10
255.94171,1.5183605e+11
255.99329,2.149413e+11
256.04483,2.812563e+11
256.0964,3.66579e+11
256.14795,4.318734e+11
256.1995,5.779951e+11
256.25104,1.0712377e+12
256.30258,1.5376835e+12
256.35413,2.0614857e+12
256.40564,2.022912e+12
256.45718,1.6140715e+12
256.5087,9.531941e+11
256.5602,5.759354e+11
256.61172,6.8408784e+11
256.6632,6.28312e+11
256.71472,5.9967504e+11
256.7662,5.4372087e+11
256.81772,4.6751498e+11
256.8692,3.3763482e+11
256.92065,2.1705189e+11
256.97214,1.10884405e+11
257.02362,6.647104e+10
257.07507,5.334628e+10
257.12653,5.707543e+10
257.17798,5.3909635e+10
257.22943,3.683868e+10
257.28088,2.0292962e+10
257.33234,1.9372542e+10
257.38376,7.212425e+10
257.43518,1.478451e+11
257.4866,2.3774003e+11
257.53802,3.227062e+11
257.58945,3.8876712e+11
257.64087,4.2881303e+11
257.69226,4.4685446e+11
257.74365,4.4131477e+11
257.79504,3.5316502e+11
257.84644,2.566981e+11
257.89783,1.7560129e+11
257.94922,9.9170435e+10
258.00058,4.51625e+10
258.05197,2.126588e+10
258.10333,2.5299118e+10
258.1547,4.938668e+10
258.20602,8.834735e+10
258.2574,1.373427e+11
258.30875,1.8311722e+11
258.36008,2.3330465e+11
258.4114,2.2724908e+11
258.46274,1.1859278e+11
258.51407,2.8568447e+11
258.56537,6.2614235e+11
258.6167,9.315387e+11
258.668,1.2215706e+12
258.71933,1.1211597e+12
258.77063,4.280171e+11
258.8219,8.997428e+10
258.8732,1.2904578e+11
258.9245,6.3528317e+10
258.97577,2.1035915e+10
259.02704,1.01882e+10
259.0783,3.9425364e+10
259.12958,1.5325617e+11
259.18085,2.6777895e+11
259.2321,3.775319e+11
259.28336,5.030271e+11
259.3346,5.1619358e+11
259.38583,5.541195e+11
259.43707,4.5184998e+11
259.4883,3.2960745e+11
259.53952,2.0486149e+11
259.59076,1.2663662e+11
259.64197,8.111199e+10
259.69318,1.3454454e+11
259.7444,3.6388356e+11
259.7956,7.8694934e+11
259.84677,1.5606941e+12
259.89798,2.4161411e+12
259.94916,3.4142408e+12
260.00034,3.5102814e+12
260.0515,3.071e+12
260.1027,1.7196198e+12
260.15387,3.647805e+11
260.20502,8.192489e+10
260.25616,5.036606e+10
260.30734,2.993208e+10
260.3585,2.5782569e+10
260.4096,4.5793886e+10
260.46075,1.0887899e+11
260.5119,2.0814804e+11
260.56302,3.6277066e+11
260.61414,6.0158155e+11
260.66525,8.517018e+11
260.71637,1.1183197e+12
260.7675,1.3903861e+12
260.81857,1.4412255e+12
260.8697,8.191689e+11
260.92078,2.2192749e+11
260.97186,1.2772434e+11
261.02295,2.025907e+11
261.074,2.908431e+11
261.1251,5.5845696e+11
261.17615,9.866357e+11
261.22723,1.4674681e+12
261.2783,1.8349616e+12
261.32935,1.6292063e+12
261.38037,9.030489e+11
261.43143,8.089526e+11
261.48245,9.161912e+11
261.5335,6.250699e+11
261.58453,1.514258e+11
261.63556,4.1110295e+10
261.68655,1.1960809e+11
261.73758,2.7631413e+11
261.78857,3.851439e+11
261.8396,6.040364e+11
261.8906,5.932539e+11
261.9416,3.0584023e+11
261.99258,1.0449897e+11
262.04355,1.4468823e+11
262.09454,1.6217865e+11
262.1455,1.9242708e+11
262.19647,2.24082e+11
262.24744,2.2384371e+11
262.2984,2.0030816e+11
262.34937,1.3683691e+11
262.4003,1.1793465e+11
262.45126,2.025639e+11
262.5022,3.8152644e+11
262.55313,6.3157934e+11
262.60406,9.395035e+11
262.655,1.1856109e+12
262.7059,1.0122139e+12
262.7568,4.7602857e+11
262.80774,4.3122963e+11
262.85864,6.749958e+11
262.90955,8.715371e+11
262.96042,9.429023e+11
263.01132,7.762175e+11
263.0622,1.0096448e+12
263.1131,1.5748885e+12
