29044.65 3441.988 5.5 5.5 -0.03689  0.004372 0.02525
29044.65 3441.988 5.5 4.5 -0.03689  0.004372 0.00120
29044.65 3441.988 4.5 5.5 -0.01088  0.001289 0.19697
29044.65 3441.988 4.5 4.5 -0.01088  0.001289 0.03848
29044.65 3441.988 4.5 3.5 -0.01088  0.001289 0.00265
29044.65 3441.988 3.5 4.5  0.01168 -0.001385 0.14550
29044.65 3441.988 3.5 3.5  0.01168 -0.001385 0.04157
29044.65 3441.988 3.5 2.5  0.01168 -0.001385 0.00340
29044.65 3441.988 2.5 3.5  0.03002 -0.003558 0.10393
29044.65 3441.988 2.5 2.5  0.03002 -0.003558 0.03628
29044.65 3441.988 2.5 1.5  0.03002 -0.003558 0.00265
29044.65 3441.988 1.5 2.5  0.04355 -0.005161 0.07143
29044.65 3441.988 1.5 1.5  0.04355 -0.005161 0.02381
29044.65 3441.988 0.5 1.5  0.05184 -0.006143 0.04762
28890.82 3460.316 4.5 5.5 -0.05340  0.006396 0.28571
28890.82 3460.316 4.5 4.5 -0.05364  0.006425 0.04409
28890.82 3460.316 4.5 3.5 -0.05277  0.006321 0.00353
28890.82 3460.316 3.5 4.5 -0.00505  0.000604 0.19400
28890.82 3460.316 3.5 3.5 -0.00418  0.000500 0.06450
28890.82 3460.316 3.5 2.5 -0.00284  0.000340 0.00816
28890.82 3460.316 2.5 3.5  0.03159 -0.003784 0.12245
28890.82 3460.316 2.5 2.5  0.03293 -0.003944 0.06612
28890.82 3460.316 2.5 1.5  0.03424 -0.004101 0.01143
28890.82 3460.316 1.5 2.5  0.05739 -0.006874 0.06857
28890.82 3460.316 1.5 1.5  0.05870 -0.007031 0.05418
28890.82 3460.316 1.5 0.5  0.05963 -0.007142 0.01058
28890.82 3460.316 0.5 1.5  0.07294 -0.008737 0.02963
28890.82 3460.316 0.5 0.5  0.07387 -0.008848 0.03704
28776.69 3474.040 5.5 5.5 -0.03775  0.004558 0.25325
28776.69 3474.040 5.5 4.5 -0.03799  0.004586 0.03247
28776.69 3474.040 4.5 5.5 -0.01174  0.001417 0.03247
28776.69 3474.040 4.5 4.5 -0.01197  0.001446 0.15713
28776.69 3474.040 4.5 3.5 -0.01110  0.001341 0.04850
28776.69 3474.040 3.5 4.5  0.01059 -0.001278 0.04850
28776.69 3474.040 3.5 3.5  0.01146 -0.001383 0.09095
28776.69 3474.040 3.5 2.5  0.01280 -0.001545 0.05102
28776.69 3474.040 2.5 3.5  0.02980 -0.003597 0.05102
28776.69 3474.040 2.5 2.5  0.03114 -0.003759 0.04898
28776.69 3474.040 2.5 1.5  0.03245 -0.003918 0.04286
28776.69 3474.040 1.5 2.5  0.04466 -0.005392 0.04286
28776.69 3474.040 1.5 1.5  0.04598 -0.005551 0.02593
28776.69 3474.040 1.5 0.5  0.04691 -0.005663 0.02646
28776.69 3474.040 0.5 1.5  0.05426 -0.006551 0.02646
28776.69 3474.040 0.5 0.5  0.05519 -0.006663 0.02116
28775.95 3474.130 3.5 4.5 -0.05521  0.006666 0.33333
28775.95 3474.130 3.5 3.5 -0.06137  0.007409 0.09524
28775.95 3474.130 3.5 2.5 -0.06522  0.007874 0.01587
28775.95 3474.130 2.5 3.5  0.02436 -0.002941 0.17143
28775.95 3474.130 2.5 2.5  0.02051 -0.002476 0.12190
28775.95 3474.130 2.5 1.5  0.01826 -0.002204 0.04000
28775.95 3474.130 1.5 2.5  0.08242 -0.009950 0.06222
28775.95 3474.130 1.5 1.5  0.08017 -0.009679 0.09333
28775.95 3474.130 1.5 0.5  0.07901 -0.009540 0.06667
28703.45 3482.905 4.5 4.5 -0.04637  0.005627 0.27160
28703.45 3482.905 4.5 3.5 -0.05253  0.006374 0.06173
28703.45 3482.905 3.5 4.5  0.00222 -0.000270 0.06173
28703.45 3482.905 3.5 3.5 -0.00393  0.000477 0.11922
28703.45 3482.905 3.5 2.5 -0.00778  0.000945 0.08571
28703.45 3482.905 2.5 3.5  0.03183 -0.003863 0.08571
28703.45 3482.905 2.5 2.5  0.02798 -0.003395 0.03429
28703.45 3482.905 2.5 1.5  0.02573 -0.003122 0.08000
28703.45 3482.905 1.5 2.5  0.05244 -0.006363 0.08000
28703.45 3482.905 1.5 1.5  0.05019 -0.006090 0.00148
28703.45 3482.905 1.5 0.5  0.04904 -0.005950 0.05185
28703.45 3482.905 0.5 1.5  0.06443 -0.007818 0.05185
28703.45 3482.905 0.5 0.5  0.06328 -0.007678 0.01481
28655.96 3488.677 3.5 3.5 -0.05602  0.006821 0.28571
28655.96 3488.677 3.5 2.5 -0.06477  0.007885 0.15873
28655.96 3488.677 2.5 3.5  0.02971 -0.003617 0.15873
28655.96 3488.677 2.5 2.5  0.02096 -0.002552 0.01905
28655.96 3488.677 2.5 1.5  0.01869 -0.002276 0.15556
28655.96 3488.677 1.5 2.5  0.08287 -0.010089 0.15556
28655.96 3488.677 1.5 1.5  0.08060 -0.009813 0.06667
28597.30 3495.833 3.5 2.5 -0.06138  0.007504 0.44444
28597.30 3495.833 2.5 2.5  0.02434 -0.002976 0.33333
28597.30 3495.833 1.5 2.5  0.08625 -0.010544 0.22222
28589.32 3496.809 5.5 4.5 -0.03072  0.003758 0.28571
28589.32 3496.809 4.5 4.5 -0.00471  0.000576 0.04409
28589.32 3496.809 4.5 3.5 -0.01086  0.001328 0.19400
28589.32 3496.809 3.5 4.5  0.01785 -0.002184 0.00353
28589.32 3496.809 3.5 3.5  0.01170 -0.001431 0.06450
28589.32 3496.809 3.5 2.5  0.00785 -0.000960 0.12245
28589.32 3496.809 2.5 3.5  0.03004 -0.003674 0.00816
28589.32 3496.809 2.5 2.5  0.02619 -0.003203 0.06612
28589.32 3496.809 2.5 1.5  0.02394 -0.002928 0.06857
28589.32 3496.809 1.5 2.5  0.03971 -0.004858 0.01143
28589.32 3496.809 1.5 1.5  0.03746 -0.004582 0.05418
28589.32 3496.809 1.5 0.5  0.03631 -0.004441 0.02963
28589.32 3496.809 0.5 1.5  0.04575 -0.005596 0.01058
28589.32 3496.809 0.5 0.5  0.04460 -0.005455 0.03704
28583.46 3497.526 4.5 3.5 -0.04718  0.005774 0.33333
28583.46 3497.526 3.5 3.5  0.00141 -0.000173 0.09524
