3605.32 27728.87 y^7^P^o^ 2     0.00 a^7^S    3           151.     8.    +0.17
3730.80 26796.28 z^5^P^o^ 2     0.00 a^7^S    3             0.177  0.016 -2.73
3732.02 26787.50 z^5^P^o^ 3     0.00 a^7^S    3             0.184  0.024 -2.57
3742.96 47228.80 x^5^G^o^ 5 20519.60 a^5^G    6             5.1    0.3   -0.93
3743.54 47228.80 x^5^G^o^ 5 20523.69 a^5^G    4             7.5    0.7   -0.76
3743.57 47228.80 x^5^G^o^ 5 20523.94 a^5^G    5            50.8    2.6   +0.07
3743.88 47222.27 x^5^G^o^ 6 20519.60 a^5^G    6            71.     4.    +0.29
3744.49 47222.27 x^5^G^o^ 6 20523.94 a^5^G    5             4.97   0.28  -0.87
3748.61 47189.87 x^5^G^o^ 4 20520.92 a^5^G    3             7.8    0.5   -0.83
3749.00 47189.87 x^5^G^o^ 4 20523.69 a^5^G    4            41.7    2.2   -0.10
3749.04 47189.87 x^5^G^o^ 4 20523.94 a^5^G    5             8.8    0.8   -0.78
3757.16 47125.70 x^5^G^o^ 3 20517.40 a^5^G    2             6.2    0.5   -1.04
3757.66 47125.70 x^5^G^o^ 3 20520.92 a^5^G    3            37.7    2.0   -0.25
3758.05 47125.70 x^5^G^o^ 3 20523.69 a^5^G    4            10.6    0.7   -0.81
3768.24 47047.47 x^5^G^o^ 2 20517.40 a^5^G    2            48.1    2.5   -0.29
3768.74 47047.47 x^5^G^o^ 2 20520.92 a^5^G    3            11.3    0.8   -0.92
3883.29 33671.55 z^5^D^o^ 3  7927.47 a^5^D    2             3.46   0.18  -1.26
3885.22 33542.11 z^5^D^o^ 2  7810.82 a^5^D    1             3.94   0.20  -1.35
3886.80 33816.06 z^5^D^o^ 4  8095.21 a^5^D    3             2.11   0.11  -1.37
3894.04 33423.79 z^5^D^o^ 1  7750.78 a^5^D    0             3.28   0.17  -1.65
3902.91 33542.11 z^5^D^o^ 2  7927.47 a^5^D    2             2.66   0.13  -1.52
3903.17 33423.79 z^5^D^o^ 1  7810.82 a^5^D    1             0.85   0.05  -2.23
3908.76 33671.55 z^5^D^o^ 3  8095.21 a^5^D    3             5.55   0.28  -1.05
3916.25 33338.20 z^5^D^o^ 0  7810.82 a^5^D    1             7.7    0.4   -1.75
3919.15 33816.06 z^5^D^o^ 4  8307.57 a^5^D    4             9.4    0.5   -0.71
3921.02 33423.79 z^5^D^o^ 1  7927.47 a^5^D    2             5.37   0.27  -1.43
3928.64 33542.11 z^5^D^o^ 2  8095.21 a^5^D    3             4.20   0.21  -1.31
3941.48 33671.55 z^5^D^o^ 3  8307.57 a^5^D    4             2.48   0.13  -1.39
3963.69 45741.49 y^5^H^o^ 7 20519.60 a^5^G    6   112.    118.     6.    +0.62
3969.06 45707.36 y^5^H^o^ 6 20519.60 a^5^G    6     7.4     6.9    0.4   -0.67
3969.74 45707.36 y^5^H^o^ 6 20523.94 a^5^G    5   104.    105.     5.    +0.51
3976.66 45663.28 y^5^H^o^ 5 20523.69 a^5^G    4    98.     93.     5.    +0.39
3976.70 45663.28 y^5^H^o^ 5 20523.94 a^5^G    5    12.8    12.7    1.1   -0.48
3983.90 45614.88 y^5^H^o^ 4 20520.92 a^5^G    3 N  94.     94.     5.    +0.30
3984.34 45614.88 y^5^H^o^ 4 20523.69 a^5^G    4    15.4    15.8    1.1   -0.47
3991.11 45566.02 y^5^H^o^ 3 20517.40 a^5^G    2    95.    100.     5.    +0.22
3991.67 45566.02 y^5^H^o^ 3 20520.92 a^5^G    3    13.4    13.8    0.8   -0.64
4025.00 45358.63 z^3^H^o^ 4 20520.92 a^5^G    3             4.0    0.4   -1.05
4025.45 45358.63 z^3^H^o^ 4 20523.69 a^5^G    4             0.61   0.13  -1.88
4026.21 45354.18 z^3^H^o^ 5 20523.94 a^5^G    5             0.45   0.06  -1.92
4027.09 45348.73 z^3^H^o^ 6 20523.94 a^5^G    5             3.53   0.29  -0.95
4254.33 23498.84 z^7^P^o^ 4     0.00 a^7^S    3            33.0    1.7   -0.09
4261.35 46958.98 f^7^D    5 23498.84 z^7^P^o^ 4             6.8    0.5   -0.69
4272.90 46783.06 f^7^D    4 23386.35 z^7^P^o^ 3             4.2    0.4   -0.98
4274.80 23386.35 z^7^P^o^ 3     0.00 a^7^S    3            31.7    1.6   -0.22
4284.72 46637.21 f^7^D    3 23305.01 z^7^P^o^ 2             2.6    0.4   -1.30
4289.72 23305.01 z^7^P^o^ 2     0.00 a^7^S    3            31.0    1.5   -0.37
4293.55 46783.06 f^7^D    4 23498.84 z^7^P^o^ 4             2.53   0.22  -1.20
4299.71 46637.21 f^7^D    3 23386.35 z^7^P^o^ 3             4.7    0.4   -1.04
4305.45 46524.84 f^7^D    2 23305.01 z^7^P^o^ 2             7.8    1.4   -0.97
4319.64 46448.60 f^7^D    1 23305.01 z^7^P^o^ 2             8.6    1.1   -1.14
4320.59 46524.84 f^7^D    2 23386.35 z^7^P^o^ 3             2.7    0.3   -1.42
